sección censal,renta media
2807901001,22891.0
2807901002,14608.0
2807901003,16141.0
2807901004,25722.0
2807901006,21702.0
2807901007,17711.0
2807901008,19651.0
2807901009,19027.0
2807901011,18133.0
2807901012,14083.0
2807901013,12841.0
2807901014,16026.0
2807901015,16210.0
2807901016,17126.0
2807901018,17535.0
2807901019,18676.0
2807901020,15467.0
2807901021,16038.0
2807901022,15074.0
2807901023,12106.0
2807901024,14580.0
2807901025,16313.0
2807901026,18108.0
2807901027,17225.0
2807901028,13159.0
2807901029,12237.0
2807901030,10656.0
2807901031,10892.0
2807901032,14189.0
2807901033,11931.0
2807901034,9391.0
2807901035,10410.0
2807901036,11871.0
2807901037,11672.0
2807901038,10526.0
2807901039,11804.0
2807901040,12267.0
2807901041,11953.0
2807901042,12045.0
2807901043,10366.0
2807901045,13294.0
2807901046,13536.0
2807901047,11614.0
2807901048,10739.0
2807901049,10952.0
2807901050,11438.0
2807901051,11536.0
2807901053,13913.0
2807901054,11675.0
2807901055,14740.0
2807901056,14517.0
2807901057,17301.0
2807901058,17253.0
2807901059,16039.0
2807901061,17885.0
2807901062,19355.0
2807901063,19260.0
2807901064,19904.0
2807901065,19143.0
2807901066,14008.0
2807901067,18739.0
2807901068,18600.0
2807901069,17014.0
2807901071,22748.0
2807901072,24751.0
2807901073,29364.0
2807901074,17445.0
2807901075,15178.0
2807901076,15992.0
2807901077,19840.0
2807901079,19120.0
2807901081,15522.0
2807901082,17786.0
2807901084,25476.0
2807901087,29364.0
2807901088,24323.0
2807901089,19808.0
2807901090,20159.0
2807901091,16130.0
2807901092,15687.0
2807901093,15360.0
2807901094,15227.0
2807901095,15781.0
2807901096,12913.0
2807901097,15230.0
2807901098,13914.0
2807901099,14818.0
2807901100,14732.0
2807901101,14373.0
2807901102,14289.0
2807901103,21786.0
2807901104,15378.0
2807901105,17964.0
2807901106,21169.0
2807901107,23979.0
2807901108,19819.0
2807901109,14438.0
2807901110,14043.0
2807901111,17054.0
2807901112,15581.0
2807901113,12892.0
2807901114,14913.0
2807901115,15436.0
2807901116,13926.0
2807901117,16171.0
2807901118,14729.0
2807901119,13241.0
2807901120,15944.0
2807901121,16594.0
2807901123,17298.0
2807901124,18376.0
2807902001,17484.0
2807902002,15342.0
2807902003,17528.0
2807902004,17038.0
2807902005,15880.0
2807902006,17416.0
2807902007,16970.0
2807902008,16395.0
2807902009,21699.0
2807902010,16598.0
2807902011,17855.0
2807902013,17930.0
2807902014,18340.0
2807902015,15524.0
2807902016,20338.0
2807902017,19230.0
2807902018,21574.0
2807902019,22496.0
2807902020,19042.0
2807902021,15124.0
2807902022,14022.0
2807902023,15545.0
2807902024,16597.0
2807902025,13997.0
2807902026,16315.0
2807902027,17547.0
2807902028,11734.0
2807902029,11835.0
2807902030,16778.0
2807902031,19696.0
2807902032,16852.0
2807902033,15885.0
2807902034,15524.0
2807902035,13895.0
2807902036,14312.0
2807902037,16885.0
2807902038,14668.0
2807902039,16171.0
2807902040,14475.0
2807902041,13981.0
2807902042,14105.0
2807902043,12815.0
2807902044,12238.0
2807902045,12251.0
2807902046,9721.0
2807902047,10293.0
2807902048,12817.0
2807902049,18101.0
2807902050,12772.0
2807902051,17992.0
2807902052,17581.0
2807902053,18093.0
2807902054,13815.0
2807902055,16002.0
2807902056,14920.0
2807902057,12932.0
2807902058,12689.0
2807902059,14762.0
2807902060,15397.0
2807902061,15588.0
2807902062,13892.0
2807902063,14663.0
2807902064,15806.0
2807902065,15383.0
2807902066,18420.0
2807902067,11943.0
2807902068,11995.0
2807902069,15777.0
2807902070,16883.0
2807902071,16940.0
2807902072,15735.0
2807902073,16734.0
2807902074,16088.0
2807902075,14035.0
2807902077,15297.0
2807902078,16255.0
2807902079,16247.0
2807902080,18804.0
2807902081,16258.0
2807902082,12562.0
2807902083,14514.0
2807902085,20456.0
2807902086,18413.0
2807902087,22870.0
2807902088,14239.0
2807902089,19153.0
2807902090,17057.0
2807902091,18047.0
2807902092,20139.0
2807902093,16125.0
2807902094,23727.0
2807902095,21965.0
2807902096,24132.0
2807902097,20527.0
2807902098,20424.0
2807902099,18639.0
2807902100,18493.0
2807902101,22348.0
2807902102,18695.0
2807902103,22617.0
2807902104,21179.0
2807902105,20348.0
2807902106,19943.0
2807902107,21586.0
2807902108,23695.0
2807902109,21043.0
2807902110,23863.0
2807902111,
2807902112,
2807903001,26010.0
2807903002,15966.0
2807903003,18385.0
2807903004,15105.0
2807903005,14870.0
2807903006,19601.0
2807903007,14232.0
2807903008,17635.0
2807903009,18854.0
2807903010,19846.0
2807903011,17173.0
2807903012,19299.0
2807903013,17667.0
2807903014,18455.0
2807903015,15237.0
2807903016,12350.0
2807903017,18566.0
2807903018,16523.0
2807903019,21508.0
2807903020,16597.0
2807903021,16053.0
2807903022,12893.0
2807903023,16483.0
2807903024,16500.0
2807903025,18481.0
2807903026,17291.0
2807903027,14846.0
2807903028,18498.0
2807903029,21697.0
2807903030,25316.0
2807903031,18705.0
2807903032,20578.0
2807903033,17751.0
2807903034,20586.0
2807903035,22207.0
2807903036,24175.0
2807903037,24097.0
2807903038,23153.0
2807903039,23299.0
2807903040,23861.0
2807903041,21400.0
2807903042,20405.0
2807903044,21260.0
2807903045,22917.0
2807903046,23361.0
2807903047,19191.0
2807903048,19631.0
2807903049,20409.0
2807903050,21541.0
2807903051,20313.0
2807903052,18943.0
2807903053,16654.0
2807903054,23201.0
2807903055,16218.0
2807903056,20172.0
2807903057,21746.0
2807903058,18421.0
2807903059,15304.0
2807903060,20702.0
2807903061,17121.0
2807903062,20713.0
2807903063,19208.0
2807903064,24406.0
2807903065,21118.0
2807903066,18910.0
2807903067,27624.0
2807903069,29364.0
2807903070,29364.0
2807903071,29364.0
2807903073,21677.0
2807903074,20906.0
2807903076,22914.0
2807903077,24987.0
2807903078,24413.0
2807903079,18535.0
2807903080,26021.0
2807903081,29364.0
2807903082,29364.0
2807903084,25161.0
2807903085,28203.0
2807903086,20382.0
2807903087,23865.0
2807903088,19168.0
2807903089,20914.0
2807903090,24071.0
2807903091,25263.0
2807903092,24249.0
2807903093,25061.0
2807903094,23372.0
2807903095,21735.0
2807903096,22451.0
2807903097,18237.0
2807903098,16835.0
2807903099,17946.0
2807903100,
2807904001,29364.0
2807904002,29364.0
2807904003,29364.0
2807904004,29364.0
2807904005,29364.0
2807904006,29364.0
2807904007,29364.0
2807904008,24388.0
2807904009,29364.0
2807904010,29364.0
2807904011,26957.0
2807904012,29364.0
2807904013,29364.0
2807904014,23982.0
2807904015,28574.0
2807904016,25351.0
2807904017,25641.0
2807904018,22919.0
2807904019,24391.0
2807904020,24521.0
2807904021,21482.0
