ID,Value,C,D,E,F,G,H,I
17042,17042,PSOE,49.25,16.92,7.96,14.68,5.22,3.73
17041,17041,PSOE,43.77,14.81,12.79,17.51,5.39,3.7
17039,17039,PSOE,43.11,17.53,11.63,14.13,5.9,4.47
17033,17033,PSOE,43.14,13.47,16.71,16.96,2.49,4.49
17043,17043,PSOE,48.34,9.97,13.29,14.62,4.82,5.32
17032,17032,PSOE,48.86,13.26,10.8,14.96,4.92,3.6
17002,17002,PSOE,43.24,17.3,12.43,14.59,5.77,4.68
17007,17007,PSOE,36.83,17.47,12.63,19.89,5.38,6.18
17008,17008,PSOE,41.05,16.39,11.49,15.54,8.45,5.41
17109,17109,PSOE,44.13,10.57,12.92,21.14,4.53,4.87
17006,17006,PSOE,41.24,14.08,12.93,17.53,7.04,4.31
17038,17038,PSOE,37.47,19.06,13.28,19.27,4.07,5.35
17003,17003,PSOE,39.16,22.35,12.44,14.12,5.21,4.2
17009,17009,PSOE,39.35,17.29,19.05,9.02,8.52,3.76
17037,17037,PSOE,53.68,13.6,6.25,13.97,4.04,6.99
17036,17036,PSOE,43.92,15.2,6.76,20.61,6.08,5.41
17035,17035,PSOE,47.44,10.26,12.82,15.38,6.41,3.53
17004,17004,PSOE,44.31,15.02,13.14,16.65,5.01,4.01
17028,17028,PSOE,41.71,19.37,11.92,13.59,8.19,2.79
17014,17014,PSOE,38.82,17.88,15.53,15.53,4.47,5.88
17010,17010,PSOE,39.45,17.97,15.63,13.09,5.66,5.08
17015,17015,PSOE,46.98,15.01,14.62,15.01,3.12,4.09
17016,17016,PSOE,47.89,15.79,6.84,18.95,5.26,3.16
17106,17106,PSOE,29.79,12.68,18.29,19.03,9,8.7
17107,17107,PSOE,30.85,12.31,17.33,19.38,10.03,7.22
17013,17013,PSOE,39.9,21.48,14.32,14.07,4.86,3.84
17012,17012,PSOE,41.59,21.09,12.83,12.54,5.01,4.13
17011,17011,PSOE,35.45,20.59,16.63,14.85,6.93,3.96
17027,17027,PSOE,34.7,15.64,13.78,22.78,6.65,4.89
17019,17019,PSOE,36.39,15.97,12.83,15.71,7.59,8.38
17110,17110,PSOE,29.14,14.38,17.76,16.54,11.56,8.27
17018,17018,PSOE,39.05,17.66,15.92,16.42,3.23,6.22
17061,17061,PSOE,46.51,13.7,13.95,16.8,5.17,1.55
17029,17029,PSOE,33.46,14.87,15.51,14.23,11.54,7.56
17026,17026,PSOE,42.15,16.24,12.96,14.23,7.85,5.11
17017,17017,PSOE,39.2,18.43,13.4,16.42,5.53,5.03
17024,17024,PSOE,36.82,18.77,15.33,15.19,6.02,5.01
17025,17025,PSOE,40.54,18.32,12.61,15.92,8.11,3.3
17023,17023,PSOE,34.05,19.96,14.38,17.32,5.19,6.85
17100,17100,PSOE,40.05,17.69,15.72,14.25,5.41,5.41
17062,17062,PSOE,43.61,15.13,13.16,16.11,5.5,4.52
17031,17031,PSOE,44.36,10.26,10.77,22.56,4.87,4.1
17060,17060,PSOE,41.67,14.81,12.04,12.27,6.71,9.03
17020,17020,PSOE,36.21,16.07,11.51,22.78,3.12,8.39
17069,17069,PSOE,40.59,17.9,12.35,16.05,5.86,4.94
17022,17022,PSOE,40.6,14.39,17.4,16.01,6.03,3.25
17063,17063,PSOE,46.68,14.45,13.74,13.51,3.08,6.16
17064,17064,PSOE,46.42,17.74,10.75,15.23,4.12,3.94
17065,17065,PSOE,43.76,17.29,13.79,13.13,7.44,3.06
17066,17066,PSOE,43.92,15.88,12.66,15.88,5.46,4.22
17068,17068,PSOE,36.76,12.07,16.6,22.77,5.35,3.98
17059,17059,PSOE,37.3,18.33,15.59,14.63,6.27,4.82
